Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
mellegue,مـــــلاق,0.0,1,0.02,15.0049,0.0,12.0899,0.08,2.751,12.5785,26.3346,86.8524,15.3354,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2022-01-04 00:00:00
sarrat,سراط,0.0171848,36,0.03079,8.24096,0.0206323,6.57554,0.03079,2.82605,0.775,,8.849,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2022-01-04 00:00:00
benmetir,بنيمطيــر,0.0,2,0.06048,14.174,0.0,9.55842,0.24192,3.55637,9.80926,8.29089,11.3514,22.9918,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2022-01-04 00:00:00
kasseb,كســاب,0.0137458,3,0.07776,27.2938,0.187218,13.4598,0.31104,10.5062,8.23838,12.0141,12.3791,36.9223,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2022-01-04 00:00:00
barbara,بربرة,0.00626797,4,0.0,47.1149,0.0868717,22.255,0.0,13.7711,18.4614,24.3543,24.1388,64.2971,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2022-01-04 00:00:00
sidisalem,سيدي ســــالم,0.130021,5,0.34526,127.371,1.37315,59.3651,1.38104,57.4525,84.6304,63.9402,79.0531,262.429,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2022-01-04 00:00:00
bouheurtma,بو هرتمـــــه,0.022072,6,0.017,26.8387,0.197077,17.8515,0.068,17.7894,13.8111,15.1222,20.2852,30.5588,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2022-01-04 00:00:00
joumine,جوميــــــن,0.106873,7,0.09979,51.1296,0.494894,33.4587,0.392442,12.8616,16.9966,15.555,18.7209,39.5607,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2022-01-04 00:00:00
ghezala,غزالـــــــة,0.0315056,8,0.0,7.97347,0.1243,4.14711,0.0,0.6515,2.15148,0.756705,2.02946,5.00297,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2022-01-04 00:00:00
melah,المالح,0.0192421,33,0.0,15.634,0.132203,12.9688,0.0,0.0,4.37,3.65996,7.70387,13.402,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2022-01-04 00:00:00
tine,الطين,0.00229554,34,0.0,5.4088,0.0257354,2.39225,0.0,0.01318,3.32,,7.34839,8.7317,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2022-01-04 00:00:00
sejnane,سجنــــــان,0.242662,9,0.751942,121.791,0.802341,80.2329,3.00994,92.3701,28.3149,61.5376,38.3114,106.608,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2022-01-04 00:00:00
zarga,الزرقة,0.0,10,0.0238,17.349,3.80562e-05,7.48448,0.0698,2.6068,5.37,4.34369,7.3329,16.777,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2022-01-04 00:00:00
kebir,الكبير,0.00468506,31,0.0,3.984,0.0217717,9.05469,0.0,10.598,6.45991,8.97045,13.5512,6.2356,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2022-01-04 00:00:00
moula,المولى,0.00128573,32,0.0,26.2508,0.0038581,8.0159,0.0,6.181,6.04198,8.58936,13.3345,26.3083,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2022-01-04 00:00:00
selbarrak,سيدي البــــراق,0.194328,11,0.7632,286.212,1.19277,149.486,2.3256,55.5577,67.1137,91.9488,87.4581,247.778,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2022-01-04 00:00:00
ziatine,الزياتين,0.0119666,12,0.009979,26.2776,0.036419,13.5709,0.039577,4.42866,8.35,7.42732,10.5274,25.4236,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2022-01-04 00:00:00
gamgoum,القمقوم,0.00104667,13,0.0,17.4073,0.0195525,7.22726,0.0,6.3555,1.37065,4.90642,2.63876,17.9085,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2022-01-04 00:00:00
harka,الحركة,0.00268091,35,0.0,30.1856,0.00938972,12.0328,0.0,7.39714,5.48,,10.1671,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2022-01-04 00:00:00
siliana,سليانـــــــة,0.00378746,14,0.0,2.74849,0.0125151,1.76149,0.0,0.0,5.60697,8.88041,13.2941,10.43,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2022-01-04 00:00:00
lakhmess,لخمـــــــاس,0.000783166,15,0.0,1.32944,0.00261055,0.269521,0.0,0.169814,1.58171,1.03092,4.63971,3.23877,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2022-01-04 00:00:00
rmil,الرميـــــــل,0.000687487,16,0.0,0.6352,0.00392945,0.396083,0.005004,0.045769,1.39077,1.3188,4.37814,1.3357,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2022-01-04 00:00:00
birmcherga,بئر المشارقـــة,0.00767591,17,0.004,22.1499,0.032204,1.83383,0.016,0.504,4.52433,7.88636,10.6558,33.3204,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2022-01-04 00:00:00
rmel,الرمــــــل,0.00176709,18,0.0,0.963022,0.00743398,0.504177,0.0,0.0,2.42798,5.06972,9.30955,5.97856,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2022-01-04 00:00:00
nebhana,نبهانــــــة,0.00109315,19,0.0,1.5701,0.00459494,0.119408,0.0,0.0,3.34326,3.55397,9.4214,7.9886,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2022-01-04 00:00:00
