,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
22,birmcherga,0.00767591,17,0.004,22.1499,0.032204,1.83383,0.016,0.504,4.52433,7.88636,10.6558,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2022-01-04 00:00:00
58,birmcherga,0.00737583,17,0.004,22.1499,0.0245281,1.82615,0.012,0.5,4.52433,7.8781,10.5098,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2022-01-03 00:00:00
94,birmcherga,0.00827605,17,0.004,22.1499,0.0171523,1.81878,0.008,0.496,4.52433,7.87011,10.3639,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2022-01-02 00:00:00
130,birmcherga,0.0088762,17,0.004,22.1499,0.0088762,1.8105,0.004,0.492,4.52433,7.86293,10.2179,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2022-01-01 00:00:00
166,birmcherga,0.00850111,17,0.004,22.1499,0.856157,1.80163,0.124,0.488,2.72113,7.85521,10.072,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-31 00:00:00
202,birmcherga,0.0,17,0.004,22.1499,0.847655,1.79312,0.12,0.484,2.72113,7.84777,9.98422,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-30 00:00:00
238,birmcherga,0.00768095,17,0.004,22.1995,0.847655,1.79312,0.116,0.48,2.72113,7.8395,9.89644,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-29 00:00:00
274,birmcherga,0.00692974,17,0.004,22.1995,0.839975,1.78544,0.112,0.476,2.72113,7.83138,9.80866,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-28 00:00:00
310,birmcherga,0.156132,17,0.004,22.1995,0.833045,1.77851,0.108,0.472,2.72113,7.82366,9.72089,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-27 00:00:00
346,birmcherga,0.0,17,0.004,22.0507,0.676913,1.62238,0.104,0.468,2.72113,7.81825,9.63311,33.3204,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-26 00:00:00
382,birmcherga,0.00798144,17,0.004,22.1995,0.676913,1.62238,0.1,0.464,2.72113,7.75166,9.54533,33.2595,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-25 00:00:00
418,birmcherga,0.0,17,0.004,22.1995,0.668931,1.6144,0.096,0.46,2.72113,7.74377,9.45755,33.2595,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-24 00:00:00
454,birmcherga,0.00798689,17,0.004,22.249,0.668931,1.6144,0.092,0.456,2.72113,7.73605,9.36977,33.2595,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-23 00:00:00
490,birmcherga,0.00761077,17,0.004,22.249,0.660945,1.60641,0.088,0.452,2.72113,7.72943,9.28199,33.2595,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-22 00:00:00
526,birmcherga,0.00715942,17,0.004,22.249,0.653334,1.5988,0.084,0.448,2.72113,7.72325,9.19421,33.2595,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-21 00:00:00
562,birmcherga,0.00693375,17,0.004,22.249,0.646174,1.59164,0.08,0.444,2.72113,7.65635,9.10644,33.1986,41.599,122.5,52.9,1.0,1971,1263.0,2021-12-20 00:00:00
