,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
6,bouheurtma,0.022072,6,0.017,26.8387,0.197077,17.8515,0.068,17.7894,13.8111,15.1222,20.2852,30.5588,112.037,221.0,117.5,1.0,1976,390.0,2022-01-04 00:00:00
42,bouheurtma,0.0587134,6,0.017,26.8387,0.175005,17.8294,0.051,17.7724,13.8111,15.0124,19.8397,30.4795,112.037,221.0,117.5,1.0,1976,390.0,2022-01-03 00:00:00
78,bouheurtma,0.0584287,6,0.017,26.8015,0.116292,17.7707,0.034,17.7554,13.8111,14.904,19.3941,30.4002,112.037,221.0,117.5,1.0,1976,390.0,2022-01-02 00:00:00
114,bouheurtma,0.0578631,6,0.017,26.7643,0.0578631,17.7123,0.017,17.7384,13.8111,14.6076,18.9486,30.1622,112.037,221.0,117.5,1.0,1976,390.0,2022-01-01 00:00:00
150,bouheurtma,0.0200933,6,0.017,26.7271,10.9324,17.6544,0.959406,17.7214,11.0394,14.5806,18.5031,30.1622,112.037,221.0,117.5,1.0,1976,390.0,2021-12-31 00:00:00
186,bouheurtma,0.0195309,6,0.017,26.7271,10.9124,17.6343,0.942406,17.7044,11.0394,14.4342,18.147,30.0432,112.037,221.0,117.5,1.0,1976,390.0,2021-12-30 00:00:00
222,bouheurtma,0.0925347,6,0.017,26.7271,10.8928,17.6148,0.925406,17.6874,11.0394,14.248,17.7909,29.9242,112.037,221.0,117.5,1.0,1976,390.0,2021-12-29 00:00:00
258,bouheurtma,0.0558899,6,0.017,26.6527,10.8003,17.5222,0.908406,17.6704,11.0394,13.9859,17.4348,29.7259,112.037,221.0,117.5,1.0,1976,390.0,2021-12-28 00:00:00
294,bouheurtma,0.0553275,6,0.017,26.6155,10.7444,17.4664,0.891406,17.6534,11.0394,13.6018,17.0787,29.4086,112.037,221.0,117.5,1.0,1976,390.0,2021-12-27 00:00:00
330,bouheurtma,0.0564485,6,0.017,26.5783,10.6891,17.411,0.874406,17.6364,11.0394,11.772,16.7226,27.5948,112.037,221.0,117.5,1.0,1976,390.0,2021-12-26 00:00:00
366,bouheurtma,0.0558865,6,0.017,26.5411,10.6326,17.3546,0.857406,17.6194,11.0394,9.57604,16.3664,25.4249,112.037,221.0,117.5,1.0,1976,390.0,2021-12-25 00:00:00
402,bouheurtma,0.0933703,6,0.017,26.5039,10.5767,17.2987,0.840406,17.6024,11.0394,9.47457,16.0103,25.3505,112.037,221.0,117.5,1.0,1976,390.0,2021-12-24 00:00:00
438,bouheurtma,0.0567221,6,0.017,26.4295,10.4834,17.2053,0.823406,17.5854,11.0394,9.3766,15.6542,25.279,112.037,221.0,117.5,1.0,1976,390.0,2021-12-23 00:00:00
474,bouheurtma,0.0944843,6,0.017,26.3923,10.4266,17.1486,0.806406,17.5684,11.0394,9.23649,15.2981,25.2074,112.037,221.0,117.5,1.0,1976,390.0,2021-12-22 00:00:00
510,bouheurtma,0.0583916,6,0.017,26.3178,10.3322,17.0541,0.789406,17.5514,11.0394,9.09902,14.942,25.1001,112.037,221.0,117.5,1.0,1976,390.0,2021-12-21 00:00:00
546,bouheurtma,0.0578309,6,0.017,26.2806,10.2738,16.9957,0.772406,17.5344,11.0394,8.98378,14.5859,25.0643,112.037,221.0,117.5,1.0,1976,390.0,2021-12-20 00:00:00
582,bouheurtma,0.0953121,6,0.017,26.2434,10.2159,16.9379,0.755406,17.5174,11.0394,8.8482,14.2298,24.957,112.037,221.0,117.5,1.0,1976,390.0,2021-12-19 00:00:00
618,bouheurtma,0.206365,6,0.017,26.169,10.1206,16.8426,0.738406,17.5004,11.0394,8.72414,13.8737,24.957,112.037,221.0,117.5,1.0,1976,390.0,2021-12-18 00:00:00
654,bouheurtma,0.205799,6,0.017,25.983,9.91426,16.6362,0.721406,17.4834,11.0394,8.62018,13.5176,24.957,112.037,221.0,117.5,1.0,1976,390.0,2021-12-17 00:00:00
690,bouheurtma,0.093345,6,0.017,25.797,9.70846,16.4304,0.704406,17.4664,11.0394,8.51922,13.1615,24.8855,112.037,221.0,117.5,1.0,1976,390.0,2021-12-16 00:00:00
726,bouheurtma,0.0842902,6,0.0085,25.7226,9.61511,16.3371,0.687406,17.4494,11.0394,8.39563,12.8054,24.8497,112.037,221.0,117.5,1.0,1976,390.0,2021-12-15 00:00:00
762,bouheurtma,0.241057,6,0.017,25.6482,9.53082,16.2528,0.678906,17.4409,11.0394,8.25644,12.4492,24.9212,112.037,221.0,117.5,1.0,1976,390.0,2021-12-14 00:00:00
798,bouheurtma,1.09388,6,0.017,25.4249,9.28977,16.0117,0.661906,17.4239,11.0394,8.05166,12.0931,24.7424,112.037,221.0,117.5,1.0,1976,390.0,2021-12-13 00:00:00
834,bouheurtma,0.30372,6,0.017,24.3489,8.19589,14.9178,0.644906,17.4069,11.0394,7.63224,11.737,24.3489,112.037,221.0,117.5,1.0,1976,390.0,2021-12-12 00:00:00
870,bouheurtma,1.67555,6,0.017,24.0627,7.89217,14.6141,0.627906,17.3899,11.0394,6.54262,11.3809,23.2895,112.037,221.0,117.5,1.0,1976,390.0,2021-12-11 00:00:00
906,bouheurtma,1.21031,6,0.017,22.4044,6.21662,12.9386,0.610906,17.3729,11.0394,6.40738,11.0248,23.1874,112.037,221.0,117.5,1.0,1976,390.0,2021-12-10 00:00:00
942,bouheurtma,2.47353,6,0.017,21.2113,5.00631,11.7283,0.593906,17.3559,11.0394,6.2648,10.6687,23.1193,112.037,221.0,117.5,1.0,1976,390.0,2021-12-09 00:00:00
978,bouheurtma,0.226154,6,0.017,18.7553,2.53278,9.25474,0.576906,17.3389,11.0394,6.20602,10.3126,23.0853,112.037,221.0,117.5,1.0,1976,390.0,2021-12-08 00:00:00
1014,bouheurtma,0.311229,6,0.017,18.5466,2.30663,9.02858,0.559906,17.3219,11.0394,6.12353,9.95648,23.0512,112.037,221.0,117.5,1.0,1976,390.0,2021-12-07 00:00:00
1050,bouheurtma,0.781272,6,0.017,18.2528,1.9954,8.71736,0.542906,17.3049,11.0394,6.06808,9.60037,23.0172,112.037,221.0,117.5,1.0,1976,390.0,2021-12-06 00:00:00
1086,bouheurtma,0.562437,6,0.073376,17.489,1.21413,7.93608,0.525906,17.2879,11.0394,5.97579,9.24426,22.9491,112.037,221.0,117.5,1.0,1976,390.0,2021-12-05 00:00:00
1122,bouheurtma,0.212451,6,0.07167,17.0004,0.651691,7.37365,0.45253,17.2145,11.0394,5.88304,8.88815,22.881,112.037,221.0,117.5,1.0,1976,390.0,2021-12-04 00:00:00
1158,bouheurtma,0.280578,6,0.0279,16.8602,0.43924,7.1612,0.38086,17.1428,11.0394,5.76038,8.53204,22.8129,112.037,221.0,117.5,1.0,1976,390.0,2021-12-03 00:00:00
