,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
26,elhaouareb,0.00268182,21,0.0,0.300336,0.0102803,0.521507,0.0,0.03582,2.40507,7.28744,7.85099,1.81299,77.47,217.0,0.0,1.0,1989,1120.0,2022-01-04 00:00:00
62,elhaouareb,0.00223485,21,0.0,0.300336,0.00759849,0.518825,0.0,0.03582,2.40507,7.28744,7.77341,1.84422,77.47,217.0,0.0,1.0,1989,1120.0,2022-01-03 00:00:00
98,elhaouareb,0.00268182,21,0.0,0.300336,0.00536364,0.51659,0.0,0.03582,2.40507,7.28744,7.69583,1.9067,77.47,217.0,0.0,1.0,1989,1120.0,2022-01-02 00:00:00
134,elhaouareb,0.00268182,21,0.0,0.300336,0.00268182,0.513909,0.0,0.03582,2.40507,7.28744,7.61825,1.93794,77.47,217.0,0.0,1.0,1989,1120.0,2022-01-01 00:00:00
170,elhaouareb,0.00268182,21,0.0,0.300336,0.112012,0.511227,0.0297,0.03582,1.03829,7.28744,7.54066,2.00042,77.47,217.0,0.0,1.0,1989,1120.0,2021-12-31 00:00:00
206,elhaouareb,0.00988182,21,0.0072,0.300336,0.10933,0.508545,0.0297,0.03582,1.03829,7.28744,7.50717,2.03165,77.47,217.0,0.0,1.0,1989,1120.0,2021-12-30 00:00:00
242,elhaouareb,0.0121288,21,0.009,0.300336,0.0994484,0.498663,0.0225,0.02862,1.03829,7.28744,7.47368,2.09413,77.47,217.0,0.0,1.0,1989,1120.0,2021-12-29 00:00:00
278,elhaouareb,0.00312879,21,0.0,0.300336,0.0873196,0.486534,0.0135,0.01962,1.03829,7.28744,7.44018,2.12537,77.47,217.0,0.0,1.0,1989,1120.0,2021-12-28 00:00:00
314,elhaouareb,0.00223485,21,0.0,0.300336,0.0841908,0.483406,0.0135,0.01962,1.03829,7.28744,7.40669,2.15661,77.47,217.0,0.0,1.0,1989,1120.0,2021-12-27 00:00:00
350,elhaouareb,0.00223485,21,0.0,0.300336,0.0819559,0.481171,0.0135,0.01962,1.03829,7.28744,7.3732,2.21908,77.47,217.0,0.0,1.0,1989,1120.0,2021-12-26 00:00:00
