,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
34,hma,0.0,29,0.0,0.728727,0.0,0.0875709,0.0,0.0,0.402662,1.68227,2.61666,2.19623,12.854,102.4,12.1,1.0,2002,123.0,2022-01-04 00:00:00
70,hma,0.0,29,0.0,0.731732,0.0,0.0875709,0.0,0.0,0.402662,1.68138,2.60367,2.19623,12.854,102.4,12.1,1.0,2002,123.0,2022-01-03 00:00:00
106,hma,0.0,29,0.0,0.734738,0.0,0.0875709,0.0,0.0,0.402662,1.6805,2.59068,2.19623,12.854,102.4,12.1,1.0,2002,123.0,2022-01-02 00:00:00
142,hma,0.0,29,0.0,0.737744,0.0,0.0875709,0.0,0.0,0.402662,1.6805,2.57769,2.20212,12.854,102.4,12.1,1.0,2002,123.0,2022-01-01 00:00:00
178,hma,0.0,29,0.0,0.74075,0.0151676,0.0875709,0.0,0.0,1.76526,1.67956,2.5647,2.20212,12.854,102.4,12.1,1.0,2002,123.0,2021-12-31 00:00:00
214,hma,0.0,29,0.0,0.743756,0.0151676,0.0875709,0.0,0.0,1.76526,1.67868,2.50776,2.20212,12.854,102.4,12.1,1.0,2002,123.0,2021-12-30 00:00:00
250,hma,0.0,29,0.0,0.746762,0.0151676,0.0875709,0.0,0.0,1.76526,1.67868,2.45082,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-29 00:00:00
286,hma,0.0,29,0.0,0.749767,0.0151676,0.0875709,0.0,0.0,1.76526,1.67791,2.39387,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-28 00:00:00
322,hma,0.0,29,0.0,0.752773,0.0151676,0.0875709,0.0,0.0,1.76526,1.67725,2.33693,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-27 00:00:00
358,hma,0.0,29,0.0,0.755779,0.0151676,0.0875709,0.0,0.0,1.76526,1.6766,2.27998,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-26 00:00:00
394,hma,0.0,29,0.0,0.761791,0.0151676,0.0875709,0.0,0.0,1.76526,1.67584,2.22304,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-25 00:00:00
430,hma,0.0,29,0.0,0.764796,0.0151676,0.0875709,0.0,0.0,1.76526,1.6749,2.1661,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-24 00:00:00
466,hma,0.0,29,0.0,0.770808,0.0151676,0.0875709,0.0,0.0,1.76526,1.67395,2.10915,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-23 00:00:00
502,hma,0.0,29,0.0,0.773814,0.0151676,0.0875709,0.0,0.0,1.76526,1.67339,2.05221,2.20802,12.854,102.4,12.1,1.0,2002,123.0,2021-12-22 00:00:00
538,hma,0.0,29,0.0,0.77682,0.0151676,0.0875709,0.0,0.0,1.76526,1.50793,1.99526,2.04299,12.854,102.4,12.1,1.0,2002,123.0,2021-12-21 00:00:00
574,hma,0.0,29,0.0,0.782831,0.0151676,0.0875709,0.0,0.0,1.76526,1.21114,1.93832,1.74636,12.854,102.4,12.1,1.0,2002,123.0,2021-12-20 00:00:00
610,hma,0.0,29,0.0,0.785837,0.0151676,0.0875709,0.0,0.0,1.76526,1.1721,1.88138,1.7074,12.854,102.4,12.1,1.0,2002,123.0,2021-12-19 00:00:00
