,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
7,joumine,0.106873,7,0.09979,51.1296,0.494894,33.4587,0.392442,12.8616,16.9966,15.555,18.7209,39.5607,118.773,90.0,129.9,1.0,1983,418.0,2022-01-04 00:00:00
43,joumine,0.140693,7,0.09609,51.1296,0.388021,33.3518,0.292652,12.7618,16.9966,15.3609,18.1726,39.3959,118.773,90.0,129.9,1.0,1983,418.0,2022-01-03 00:00:00
79,joumine,0.106128,7,0.100671,51.0899,0.247327,33.2111,0.196562,12.6657,16.9966,15.0989,17.6243,39.1651,118.773,90.0,129.9,1.0,1983,418.0,2022-01-02 00:00:00
115,joumine,0.141199,7,0.095891,51.0899,0.141199,33.105,0.095891,12.565,16.9966,14.8826,17.076,39.0002,118.773,90.0,129.9,1.0,1983,418.0,2022-01-01 00:00:00
151,joumine,0.105695,7,0.099681,51.0503,27.0544,32.9638,2.92429,12.4691,11.4611,14.5922,16.5278,38.7365,118.773,90.0,129.9,1.0,1983,418.0,2021-12-31 00:00:00
187,joumine,0.142977,7,0.096611,51.0503,26.9487,32.8581,2.82461,12.3695,11.4611,14.2056,16.1581,38.3738,118.773,90.0,129.9,1.0,1983,418.0,2021-12-30 00:00:00
223,joumine,0.104466,7,0.097041,51.0106,26.8057,32.7151,2.728,12.2729,11.4611,13.8132,15.7883,38.0148,118.773,90.0,129.9,1.0,1983,418.0,2021-12-29 00:00:00
259,joumine,0.221046,7,0.097161,51.0106,26.7012,32.6106,2.63096,12.1758,11.4611,13.3651,15.4186,37.5956,118.773,90.0,129.9,1.0,1983,418.0,2021-12-28 00:00:00
295,joumine,0.181251,7,0.095961,50.8917,26.4802,32.3896,2.5338,12.0786,11.4611,12.6602,15.0489,36.9184,118.773,90.0,129.9,1.0,1983,418.0,2021-12-27 00:00:00
331,joumine,0.178722,7,0.093791,50.8124,26.2989,32.2083,2.43783,11.9827,11.4611,11.2326,14.6792,35.5229,118.773,90.0,129.9,1.0,1983,418.0,2021-12-26 00:00:00
367,joumine,0.184503,7,0.099931,50.7331,26.1202,32.0296,2.34404,11.8889,11.4611,10.8287,14.3095,35.1444,118.773,90.0,129.9,1.0,1983,418.0,2021-12-25 00:00:00
