,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
0,mellegue,0.0,1,0.02,15.0049,0.0,12.0899,0.08,2.751,12.5785,26.3346,86.8524,15.3354,51.13,265.0,267.67,1.0,1954,10300.0,2022-01-04 00:00:00
36,mellegue,0.0,1,0.02,15.0349,0.0,12.0899,0.06,2.731,12.5785,26.2776,86.4466,15.3655,51.13,265.0,267.67,1.0,1954,10300.0,2022-01-03 00:00:00
72,mellegue,0.0,1,0.02,15.065,0.0,12.0899,0.04,2.711,12.5785,26.2506,86.0409,15.4256,51.13,265.0,267.67,1.0,1954,10300.0,2022-01-02 00:00:00
108,mellegue,0.0,1,0.02,15.1251,0.0,12.0899,0.02,2.691,12.5785,26.2506,85.6351,15.5157,51.13,265.0,267.67,1.0,1954,10300.0,2022-01-01 00:00:00
144,mellegue,0.0,1,0.02,15.1551,1.89369,12.0899,0.62,2.671,12.5857,26.2506,85.2294,15.6059,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-31 00:00:00
180,mellegue,0.0,1,0.02,15.2152,1.89369,12.0899,0.6,2.651,12.5857,26.2234,84.8234,15.666,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-30 00:00:00
216,mellegue,0.0,1,0.02,15.2453,1.89369,12.0899,0.58,2.631,12.5857,26.1959,84.4174,15.7261,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-29 00:00:00
252,mellegue,0.0,1,0.02,15.3054,1.89369,12.0899,0.56,2.611,12.5857,26.1384,84.0114,15.7561,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-28 00:00:00
288,mellegue,0.0,1,0.02,15.3354,1.89369,12.0899,0.54,2.591,12.5857,26.0811,83.6054,15.7862,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-27 00:00:00
324,mellegue,0.0,1,0.02,15.3655,1.89369,12.0899,0.52,2.571,12.5857,25.9938,83.1994,15.7862,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-26 00:00:00
360,mellegue,0.0,1,0.02,15.3955,1.89369,12.0899,0.5,2.551,12.5857,25.8462,82.7934,15.7261,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-25 00:00:00
396,mellegue,0.0,1,0.02,15.4556,1.89369,12.0899,0.48,2.531,12.5857,25.7884,82.3874,15.7561,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-24 00:00:00
432,mellegue,0.0,1,0.02,15.4857,1.89369,12.0899,0.46,2.511,12.5857,25.7002,81.9814,15.7561,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-23 00:00:00
468,mellegue,0.0,1,0.02,15.5157,1.89369,12.0899,0.44,2.491,12.5857,25.6119,81.5754,15.7561,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-22 00:00:00
504,mellegue,0.0,1,0.02,15.5758,1.89369,12.0899,0.42,2.471,12.5857,25.4934,81.1694,15.7261,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-21 00:00:00
540,mellegue,0.0,1,0.02,15.6359,1.89369,12.0899,0.4,2.451,12.5857,25.1643,80.7635,15.4857,51.13,265.0,267.67,1.0,1954,10300.0,2021-12-20 00:00:00
