,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
11,sejnane,0.242662,9,0.751942,121.791,0.802341,80.2329,3.00994,92.3701,28.3149,61.5376,38.3114,106.608,134.014,86.5,137.5,1.0,1994,367.0,2022-01-04 00:00:00
47,sejnane,0.169068,9,0.753002,122.297,0.559679,79.9903,2.258,91.6182,28.3149,61.136,37.398,106.475,134.014,86.5,137.5,1.0,1994,367.0,2022-01-03 00:00:00
83,sejnane,0.158449,9,0.752482,122.88,0.390611,79.8212,1.50499,90.8652,28.3149,60.5467,36.4846,106.608,134.014,86.5,137.5,1.0,1994,367.0,2022-01-02 00:00:00
119,sejnane,0.232162,9,0.752512,123.471,0.232162,79.6628,0.752512,90.1127,28.3149,60.0277,35.5713,106.807,134.014,86.5,137.5,1.0,1994,367.0,2022-01-01 00:00:00
155,sejnane,0.0856914,9,0.752842,123.989,44.5666,79.4306,23.1005,89.3602,21.2763,59.1339,34.6579,106.608,134.014,86.5,137.5,1.0,1994,367.0,2021-12-31 00:00:00
191,sejnane,0.162012,9,0.752632,124.655,44.4809,79.3449,22.3477,88.6073,21.2763,57.0437,33.9715,105.213,134.014,86.5,137.5,1.0,1994,367.0,2021-12-30 00:00:00
227,sejnane,0.232497,9,0.752392,125.246,44.3189,79.1829,21.5951,87.8547,21.2763,55.7604,33.2852,104.625,134.014,86.5,137.5,1.0,1994,367.0,2021-12-29 00:00:00
263,sejnane,0.230908,9,0.753002,125.764,44.0864,78.9504,20.8427,87.1023,21.2763,55.1325,32.5989,104.69,134.014,86.5,137.5,1.0,1994,367.0,2021-12-28 00:00:00
299,sejnane,0.219347,9,0.752989,126.282,43.8555,78.7195,20.0897,86.3493,21.2763,54.1771,31.9125,104.429,134.014,86.5,137.5,1.0,1994,367.0,2021-12-27 00:00:00
335,sejnane,0.294057,9,0.752959,126.81,43.6361,78.5001,19.3367,85.5963,21.2763,51.8516,31.2262,102.797,134.014,86.5,137.5,1.0,1994,367.0,2021-12-26 00:00:00
