,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
25,sidisaad,0.0124396,20,0.0,29.4106,0.0373422,2.09244,0.0,0.942972,7.94621,21.0106,23.5765,57.4933,133.317,270.0,209.0,1.0,1981,8950.0,2022-01-04 00:00:00
61,sidisaad,0.0,20,0.0,29.4106,0.0249026,2.08,0.0,0.942972,7.94621,21.0106,23.3202,57.5929,133.317,270.0,209.0,1.0,1981,8950.0,2022-01-03 00:00:00
97,sidisaad,0.0131066,20,0.0,29.4849,0.0249026,2.08,0.0,0.942972,7.94621,21.0106,23.0638,57.6925,133.317,270.0,209.0,1.0,1981,8950.0,2022-01-02 00:00:00
133,sidisaad,0.011796,20,0.0,29.4849,0.011796,2.06689,0.0,0.942972,7.94621,21.0106,22.8075,57.7921,133.317,270.0,209.0,1.0,1981,8950.0,2022-01-01 00:00:00
169,sidisaad,0.0124513,20,0.0,29.4849,0.343296,2.0551,0.008356,0.942972,2.31947,21.0106,22.5512,57.8917,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-31 00:00:00
205,sidisaad,0.011796,20,0.0,29.4849,0.330844,2.04265,0.008356,0.942972,2.31947,20.9627,22.4764,57.8917,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-30 00:00:00
241,sidisaad,0.0111406,20,0.0,29.4849,0.319048,2.03085,0.008356,0.942972,2.31947,20.9627,22.4015,57.9913,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-29 00:00:00
277,sidisaad,0.0131066,20,0.0,29.4849,0.307908,2.01971,0.008356,0.942972,2.31947,20.9183,22.3267,57.9913,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-28 00:00:00
313,sidisaad,0.0124513,20,0.0,29.4849,0.294801,2.0066,0.008356,0.942972,2.31947,20.9183,22.2519,58.0909,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-27 00:00:00
349,sidisaad,0.0111406,20,0.0,29.4849,0.28235,1.99415,0.008356,0.942972,2.31947,20.8839,22.1771,58.0909,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-26 00:00:00
385,sidisaad,0.011796,20,0.0,29.4849,0.271209,1.98301,0.008356,0.942972,2.31947,20.8488,22.1023,58.0909,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-25 00:00:00
421,sidisaad,0.0,20,0.0,29.4849,0.259413,1.97122,0.008356,0.942972,2.31947,20.8184,22.0274,58.0909,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-24 00:00:00
457,sidisaad,0.012463,20,0.0,29.5593,0.259413,1.97122,0.008356,0.942972,2.31947,20.6789,21.9526,57.9913,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-23 00:00:00
493,sidisaad,0.0147588,20,0.0,29.5593,0.24695,1.95875,0.008356,0.942972,2.31947,20.6367,21.8778,57.9913,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-22 00:00:00
529,sidisaad,0.012463,20,0.0,29.5593,0.232191,1.94399,0.008356,0.942972,2.31947,20.5947,21.803,57.9913,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-21 00:00:00
565,sidisaad,0.011807,20,0.0,29.5593,0.219729,1.93153,0.008356,0.942972,2.31947,20.5528,21.7282,57.9913,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-20 00:00:00
601,sidisaad,0.0111511,20,0.0,29.5593,0.207922,1.91972,0.008356,0.942972,2.31947,20.2227,21.6533,57.6925,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-19 00:00:00
637,sidisaad,0.011807,20,0.0,29.5593,0.19677,1.90857,0.008356,0.942972,2.31947,19.3772,21.5785,56.8957,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-18 00:00:00
673,sidisaad,0.012463,20,0.0,29.5593,0.184963,1.89677,0.008356,0.942972,2.31947,19.347,21.5037,56.8957,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-17 00:00:00
709,sidisaad,0.0,20,0.0,29.5593,0.1725,1.8843,0.008356,0.942972,2.31947,19.2967,21.4289,56.8957,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-16 00:00:00
745,sidisaad,0.0124747,20,0.0,29.6337,0.1725,1.8843,0.008356,0.942972,2.31947,19.2967,21.354,56.9953,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-15 00:00:00
781,sidisaad,0.0118181,20,0.0,29.6337,0.160026,1.87183,0.008356,0.942972,2.31947,19.2586,21.2792,56.9953,133.317,270.0,209.0,1.0,1981,8950.0,2021-12-14 00:00:00
