,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
5,sidisalem,0.130021,5,0.34526,127.371,1.37315,59.3651,1.38104,57.4525,84.6304,63.9402,79.0531,262.429,580.35,115.0,814.0,1.0,1981,7950.0,2022-01-04 00:00:00
41,sidisalem,0.340917,5,0.34526,127.583,1.24313,59.2351,1.03578,57.1072,84.6304,63.0768,76.323,261.555,580.35,115.0,814.0,1.0,1981,7950.0,2022-01-03 00:00:00
77,sidisalem,0.344081,5,0.34526,127.583,0.902214,58.8942,0.69052,56.762,84.6304,62.2157,73.593,260.68,580.35,115.0,814.0,1.0,1981,7950.0,2022-01-02 00:00:00
113,sidisalem,0.558133,5,0.34526,127.583,0.558133,58.5501,0.34526,56.4167,84.6304,60.9758,70.863,259.83,580.35,115.0,814.0,1.0,1981,7950.0,2022-01-01 00:00:00
149,sidisalem,0.344071,5,0.34526,127.371,42.269,57.9919,8.62019,56.0714,27.5,58.5993,68.133,257.844,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-31 00:00:00
185,sidisalem,0.34249,5,0.34526,127.371,41.925,57.6479,8.27493,55.7262,27.5,55.5889,67.2459,255.292,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-30 00:00:00
221,sidisalem,0.126858,5,0.34526,127.371,41.5825,57.3054,7.92967,55.3809,27.5,53.3224,66.3588,253.023,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-29 00:00:00
257,sidisalem,0.337753,5,0.34526,127.583,41.4556,57.1785,7.58441,55.0357,27.5,51.6275,65.4717,251.321,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-28 00:00:00
293,sidisalem,0.764274,5,0.34526,127.583,41.1179,56.8408,7.23915,54.6904,27.5,49.8045,64.5846,250.186,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-27 00:00:00
329,sidisalem,0.553371,5,0.34526,127.158,40.3536,56.0765,6.89389,54.3451,27.5,48.7503,63.6975,249.619,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-26 00:00:00
365,sidisalem,0.554942,5,0.34526,126.946,39.8002,55.5231,6.54863,53.9999,27.5,47.0459,62.8104,248.201,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-25 00:00:00
401,sidisalem,0.556512,5,0.34526,126.733,39.2453,54.9682,6.20337,53.6546,27.5,45.5229,61.9233,247.066,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-24 00:00:00
437,sidisalem,0.559657,5,0.34526,126.521,38.6888,54.4117,5.85811,53.3094,27.5,44.8284,61.0362,247.066,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-23 00:00:00
473,sidisalem,0.680948,5,0.0432,126.308,38.1291,53.852,5.51285,52.9641,27.5,44.15,60.1491,246.783,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-22 00:00:00
509,sidisalem,0.67777,5,0.0432,125.671,37.4482,53.1711,5.46965,52.9209,27.5,43.7594,59.262,246.783,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-21 00:00:00
545,sidisalem,0.760607,5,0.34526,125.034,36.7704,52.4933,5.42645,52.8777,27.5,43.0872,58.3749,246.499,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-20 00:00:00
581,sidisalem,1.16221,5,0.34526,124.615,36.0098,51.7327,5.08119,52.5324,27.5,42.1291,57.4878,246.223,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-19 00:00:00
617,sidisalem,1.57053,5,0.34526,123.792,34.8476,50.5705,4.73593,52.1872,27.5,40.633,56.6007,245.118,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-18 00:00:00
653,sidisalem,2.18928,5,0.34526,122.558,33.277,49.0,4.39067,51.8419,27.5,38.2779,55.7136,243.459,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-17 00:00:00
689,sidisalem,2.39651,5,0.34526,120.706,31.0878,46.8107,4.04541,51.4967,27.5,35.6723,54.8265,241.249,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-16 00:00:00
725,sidisalem,3.01519,5,0.34526,118.649,28.6912,44.4142,3.70015,51.1514,27.5,33.5938,53.9395,239.867,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-15 00:00:00
761,sidisalem,0.0,5,0.37681,113.545,23.2722,38.9951,3.35489,50.8061,27.5,32.0959,53.0524,238.762,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-14 00:00:00
797,sidisalem,2.99959,5,0.0432,113.941,23.2722,38.9951,2.97808,50.4293,27.5,31.1462,52.1653,238.209,580.35,115.0,814.0,1.0,1981,7950.0,2021-12-13 00:00:00
