,station,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Bassin_versant,Date
19,siliana,0.00378746,14,0.0,2.74849,0.0125151,1.76149,0.0,0.0,5.60697,8.88041,13.2941,10.43,33.4411,388.5,70.0,1.0,1987,1040.0,2022-01-04 00:00:00
55,siliana,0.00329345,14,0.0,2.74849,0.00872763,1.7577,0.0,0.0,5.60697,8.84317,13.1133,10.3958,33.4411,388.5,70.0,1.0,1987,1040.0,2022-01-03 00:00:00
91,siliana,0.0029641,14,0.0,2.74849,0.00543419,1.75441,0.0,0.0,5.60697,8.80516,12.9324,10.3616,33.4411,388.5,70.0,1.0,1987,1040.0,2022-01-02 00:00:00
127,siliana,0.00247008,14,0.0,2.74849,0.00247008,1.75145,0.0,0.0,5.60697,8.7664,12.7515,10.3274,33.4411,388.5,70.0,1.0,1987,1040.0,2022-01-01 00:00:00
163,siliana,0.00312877,14,0.0,2.74849,0.162247,1.74898,0.0,0.0,2.7873,8.72841,12.5706,10.2932,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-31 00:00:00
199,siliana,0.00329345,14,0.0,2.74849,0.159118,1.74585,0.0,0.0,2.7873,8.72562,12.4807,10.2932,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-30 00:00:00
235,siliana,0.00247008,14,0.0,2.74849,0.155824,1.74255,0.0,0.0,2.7873,8.68763,12.3908,10.2591,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-29 00:00:00
271,siliana,0.00247008,14,0.0,2.74849,0.153354,1.74008,0.0,0.0,2.7873,8.61571,12.3009,10.1907,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-28 00:00:00
307,siliana,0.00279943,14,0.0,2.74849,0.150884,1.73761,0.0,0.0,2.7873,8.54431,12.211,10.1223,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-27 00:00:00
343,siliana,0.00329345,14,0.0,2.74849,0.148085,1.73481,0.0,0.0,2.7873,8.47417,12.1211,10.054,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-26 00:00:00
379,siliana,0.00329345,14,0.0,2.74849,0.144791,1.73152,0.0,0.0,2.7873,8.40454,12.0312,9.98559,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-25 00:00:00
415,siliana,0.0029641,14,0.0,2.74849,0.141498,1.72823,0.0,0.0,2.7873,8.33416,11.9413,9.91723,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-24 00:00:00
451,siliana,0.00247008,14,0.0,2.74849,0.138534,1.72526,0.0,0.0,2.7873,8.26202,11.8513,9.84886,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-23 00:00:00
487,siliana,0.00247008,14,0.0,2.74849,0.136064,1.72279,0.0,0.0,2.7873,8.19387,11.7614,9.78371,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-22 00:00:00
523,siliana,0.00230541,14,0.0,2.74849,0.133594,1.72032,0.0,0.0,2.7873,8.06107,11.6715,9.65342,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-21 00:00:00
559,siliana,0.00197607,14,0.0,2.74849,0.131288,1.71802,0.0,0.0,2.7873,7.92953,11.5816,9.52312,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-20 00:00:00
595,siliana,0.00148205,14,0.0,2.74849,0.129312,1.71604,0.0,0.0,2.7873,7.79675,11.4917,9.39282,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-19 00:00:00
631,siliana,0.00197607,14,0.0,2.74849,0.12783,1.71456,0.0,0.0,2.7873,7.76171,11.4018,9.36025,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-18 00:00:00
667,siliana,0.00197607,14,0.0,2.74849,0.125854,1.71258,0.0,0.0,2.7873,7.72469,11.3119,9.32768,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-17 00:00:00
703,siliana,0.00164672,14,0.0,2.74849,0.123878,1.71061,0.0,0.0,2.7873,7.68768,11.222,9.2951,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-16 00:00:00
739,siliana,0.00164672,14,0.0,2.74849,0.122231,1.70896,0.0,0.0,2.7873,7.64969,11.132,9.26253,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-15 00:00:00
775,siliana,0.00131738,14,0.0,2.74849,0.120584,1.70731,0.0,0.0,2.7873,7.6122,11.0421,9.22995,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-14 00:00:00
811,siliana,0.00131738,14,0.0,2.74849,0.119267,1.706,0.0,0.0,2.7873,7.57594,10.9522,9.19738,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-13 00:00:00
847,siliana,0.000988034,14,0.0,2.74849,0.11795,1.70468,0.0,0.0,2.7873,7.50883,10.8623,9.13223,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-12 00:00:00
883,siliana,0.000494017,14,0.0,2.74849,0.116962,1.70369,0.0,0.0,2.7873,7.47455,10.7724,9.09966,33.4411,388.5,70.0,1.0,1987,1040.0,2021-12-11 00:00:00
