Date,station,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente
2021-11-20,جندوبة,0.0,15.899999999999999,45.510000077486026,89.0,109.74400002971298,43.2,96.2
2021-11-20,بوسالم,0.0,16.2,45.78666673815912,90.0,106.10444454153382,54.5,82.9
2021-11-20,غار الدماء,0.0,7.8,46.61428573697197,66.3,102.35510208336065,17.3,53.89999999999999
2021-11-20,عين دراهم,0.0,58.0,202.26000009849665,407.0,352.94599998772134,104.0,332.0
2021-11-20,طبرقة,0.0,63.599999999999994,144.5240003156662,285.2,255.26600035682324,44.6,239.2
2021-11-20,سد بوهرتمة,0.0,7.1,89.87111116995413,142.89999999999998,157.75666701071944,49.5,98.9
2021-11-20,بــاجة,0.0,24.7,64.85624996122594,176.7,142.38788263299216,29.6,94.6
2021-11-20,مجاز الباب,0.0,5.0,40.506521696143814,91.0,108.23913034229822,20.0,54.0
2021-11-20,نفزة ,0.0,57.0,144.63469381934527,270.5,238.62038268733824,34.0,181.0
2021-11-20,سد سيدي سالم,0.0,11.4,43.77916662410523,66.2,108.2642286422907,12.0,49.6
2021-11-20,تبرسق ,0.0,26.0,55.52599993288517,128.0,127.15726521865449,24.0,72.0
2021-11-20,تيبار ,0.0,14.5,56.911999935954796,161.5,130.81938774151155,52.5,93.5
2021-11-20,الكاف ,0.0,2.7,38.328571455971314,69.2,100.24897973680375,31.400000000000002,117.4
2021-11-20,سد ملاق,0.0,5.0,28.126530658225633,67.80000000000001,83.28775498058111,27.1,88.1
2021-11-20,ساقية سيدي يوسف,0.0,21.7,46.72222229904599,103.60000000000001,110.78444447550508,18.0,63.2
2021-11-20,قلعة سنان,0.0,9.5,37.98444452136754,59.5,100.3822222756015,5.0,48.0
2021-11-20,القصور,0.0,4.0,34.901999956369394,54.5,97.74400000125168,11.0,80.0
2021-11-20,السرس,0.0,10.0,35.78372094381687,84.8,107.16046514760617,15.600000000000001,75.5
2021-11-20,تاجروين,0.0,3.0,35.973784329019196,32.5,98.7383803352031,10.0,68.0
